FID,Street,City,State,County,Zip Code,Assessed_Hurricane,Times_Flooded,In_Flood_Zone,Flood_Zone,GlobalID,Flood_Hazard_Zone,x,y,zone_type,In Zone,Not in Zone
1,Griffins Lndg,Nichols,SC,Horry County,29581,Florence,1,Yes,AE,7edce069-aba3-45fb-8f1d-38c321658913,Yes,-79.07640097,34.29343098,Flood Hazard Zone,908,994
2,Maplewild Rd,Nichols,SC,Horry County,29581,Florence,1,No,X,9e714311-a608-44d0-a1ec-f76b5f550153,No,-79.05617001,34.13609001,FEMA Flood Zone,947,955
3,Hwy 76,Nichols,SC,Horry County,29581,Florence,1,No,X,073c3df7-5acb-41b1-8e6b-e74d776d725f,No,-79.09302699,34.22666101,,,
4,Hwy 917,Loris,SC,Horry County,29569,Florence,1,No,X,161733cb-3143-40eb-a89f-bb7e1e26dc11,No,-78.980377,34.09767601,,,
5,Hwy 389,Nichols,SC,Horry County,29581,Florence,1,No,X,8d213f27-d608-4695-9177-94b6eceebc90,No,-79.03250102,34.14673403,,,
6,Holcombe Ln,Conway,SC,Horry County,29527,Matthew,1,No,X,4547cf5f-f5d4-42a4-8925-bdb04a2e2413,No,-79.15113802,33.89746801,,,
7,Acie Ave,Conway,SC,Horry County,29527,Matthew,1,No,X,e4bccb29-3371-4183-8770-f258169e5c4c,No,-79.08898799,33.84615701,,,
8,Three Bend Rd,Nichols,SC,Horry County,29581,"Matthew, Florence",2,No,X,785ee0d8-3e85-4c89-99df-2ca3423142d6,No,-79.04641197,34.17007902,,,
9,River Rd,Nichols,SC,Horry County,29581,Matthew,1,Yes,AE,d574e07d-5990-4407-b6b4-08b08319970a,Yes,-79.13223702,34.22038897,,,
10,Liberty Church Rd,Loris,SC,Horry County,29569,Florence,1,No,X,95f22379-79ab-4f49-802f-379824562016,No,-78.81582199,34.02774797,,,
11,Betsy Ln,Galivants Ferry,SC,Horry County,29544,Matthew,1,No,X,bbbd6b4c-c9f7-4a7e-825a-823ae35cc04a,No,-79.19467199,33.93507602,,,
12,Buffkin Rd,Green Sea,SC,Horry County,29545,"Matthew, Florence",2,No,X,be582d76-9e91-45b9-9bb0-f93139948be2,No,-78.95214501,34.190191,,,
13,Drowning Creek Dr,Nichols,SC,Horry County,29581,Matthew,1,Yes,AE,3426f660-5833-4de6-929c-c6a0d3af9830,Yes,-79.12696202,34.21918103,,,
14,Drowning Creek Dr,Nichols,SC,Horry County,29581,"Matthew, Florence",2,Yes,AE,a1a4bc6a-0480-48a3-a772-8fba5f50ebb3,Yes,-79.12679296,34.22021702,,,
15,Prospect Rd,Loris,SC,Horry County,29569,Matthew,1,No,X,d3ebeae0-8ce8-4f72-8cd5-e998ab7efdc3,No,-78.90287997,34.07687197,,,
